"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/10/2020","AQS","110010043","4","12","ug/m3 SC","11","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/11/2020","AQS","110010043","4","11","ug/m3 SC","10","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/12/2020","AQS","110010043","4","15","ug/m3 SC","14","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/13/2020","AQS","110010043","4","7","ug/m3 SC","6","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/14/2020","AQS","110010043","4","7","ug/m3 SC","6","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/15/2020","AQS","110010043","4","12","ug/m3 SC","11","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/16/2020","AQS","110010043","4","15","ug/m3 SC","14","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/17/2020","AQS","110010043","4","20","ug/m3 SC","19","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/18/2020","AQS","110010043","4","21","ug/m3 SC","19","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/19/2020","AQS","110010043","4","10","ug/m3 SC","9","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/20/2020","AQS","110010043","4","15","ug/m3 SC","14","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/21/2020","AQS","110010043","4","12","ug/m3 SC","11","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/22/2020","AQS","110010043","4","16","ug/m3 SC","15","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/24/2020","AQS","110010043","4","29","ug/m3 SC","27","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/25/2020","AQS","110010043","4","11","ug/m3 SC","10","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/26/2020","AQS","110010043","4","12","ug/m3 SC","11","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/27/2020","AQS","110010043","4","7","ug/m3 SC","6","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/28/2020","AQS","110010043","4","10","ug/m3 SC","9","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"02/29/2020","AQS","110010043","4","9","ug/m3 SC","8","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"03/01/2020","AQS","110010043","4","11","ug/m3 SC","10","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"03/02/2020","AQS","110010043","4","20","ug/m3 SC","19","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"03/03/2020","AQS","110010043","4","16","ug/m3 SC","15","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"03/04/2020","AQS","110010043","4","10","ug/m3 SC","9","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"03/05/2020","AQS","110010043","4","12","ug/m3 SC","11","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"03/06/2020","AQS","110010043","4","16","ug/m3 SC","15","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"03/07/2020","AQS","110010043","4","5","ug/m3 SC","5","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"03/08/2020","AQS","110010043","4","10","ug/m3 SC","9","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"03/09/2020","AQS","110010043","4","17","ug/m3 SC","16","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
